ROSLINDALE AV,Commercial,1
ROSLINDALE AV,Residential,69
ROSLINDALE AV,Vacant,5
ROSLYN PL,Residential,2
ROSLYN PL,Vacant,1
ROSSELERIN RD,Residential,14
ROSSELERIN RD,Vacant,1
ROSSETER ST,Public & Quasi-Public,2
ROSSETER ST,Residential,53
ROSSETER ST,Vacant,6
ROSSMORE RD,Commercial,1
ROSSMORE RD,Residential,25
ROSSMORE RD,Vacant,2
ROSWELL ST,Residential,1
ROUGEMONT PL,Vacant,4
ROUGHAN RD,Vacant,1
ROUND HILL ST,Public & Quasi-Public,2
ROUND HILL ST,Residential,40
ROUND HILL ST,Vacant,1
ROWE ST,Public & Quasi-Public,2
ROWE ST,Residential,22
ROWE ST,Vacant,4
ROWELL ST,Residential,16
ROWELL ST,Vacant,2
ROWEN CT,Residential,1
ROWENA ST,Residential,12
ROWLEY ST,Residential,4
ROXANA ST,Residential,7
ROXBURY ST,Commercial,7
ROXBURY ST,Public & Quasi-Public,11
ROXBURY ST,Residential,6
ROXBURY ST,Residential (Mixed-Use),3
ROXBURY ST,Vacant,3
ROXTON ST,Residential,8
ROXTON ST,Vacant,1
ROYAL ST,Commercial,1
ROYAL ST,Residential,21
ROYCE RD,Public & Quasi-Public,1
ROYCE RD,Residential,4
ROZELLA ST,Residential,6
RUFFING ST,Residential,13
RUGBY RD,Residential,17
RUGBY RD,Vacant,1
RUGDALE RD,Residential,18
RUGDALE RD,Vacant,2
RUGG RD,Commercial,1
RUGG RD,Industrial,1
RUGGLES CT,Vacant,4
RUGGLES ST,Public & Quasi-Public,5
RUGGLES ST,Residential,6
RUGGLES ST,Vacant,4
RUMFORD RD,Residential,4
RUNDEL PK,Residential,4
RUNDEL PK,Vacant,1
RUNNING BROOK RD,Residential,38
RUSFIELD ST,Commercial,1
RUSHMORE ST,Residential,6
RUSKIN RD,Residential,2
RUSKIN ST,Residential,11
RUSKINDALE RD,Public & Quasi-Public,2
RUSKINDALE RD,Residential,65
RUSKINDALE RD,Vacant,6
RUSSELL PL,Vacant,2
RUSSELL ST,Public & Quasi-Public,4
RUSSELL ST,Residential,72
RUSSELL ST,Vacant,2
RUSSETT RD,Public & Quasi-Public,2
RUSSETT RD,Residential,57
RUSSETT RD,Vacant,3
RUSTIC RD,Residential,10
RUSTLEWOOD RD,Residential,7
RUTHERFORD AV,Commercial,13
RUTHERFORD AV,Industrial,2
RUTHERFORD AV,Public & Quasi-Public,10
RUTHERFORD AV,Residential,19
RUTHERFORD AV,Residential (Mixed-Use),2
RUTHERFORD AV,Vacant,17
RUTHVEN PK,Vacant,2
RUTHVEN ST,Public & Quasi-Public,3
RUTHVEN ST,Residential,52
RUTHVEN ST,Residential (Mixed-Use),2
RUTHVEN ST,Vacant,4
RUTLAND SQ,Public & Quasi-Public,1
RUTLAND SQ,Residential,30
RUTLAND ST,Public & Quasi-Public,6
RUTLAND ST,Residential,14
RUTLAND ST,Residential (Mixed-Use),2
RUTLEDGE ST,Residential,18
RUXTON RD,Residential,7
RUXTON RD,Vacant,3
RYAN RD,Residential,8
RYDER HILL RD,Public & Quasi-Public,1
RYDER HILL RD,Residential,4
RYDER HILL RD,Vacant,2
S BAY AV,Public & Quasi-Public,2
S BAY AV,Vacant,1
S BREMEN ST,Residential,1
S CEDAR PL,Residential,1
S CHARLAME CT,Residential,1
S CHARLAME TE,Residential,1
S FAIRVIEW ST,Commercial,1
S FAIRVIEW ST,Residential,5
S HOBART ST,Residential,8
S HUNTINGTON AV,Commercial,9
S HUNTINGTON AV,Public & Quasi-Public,8
S HUNTINGTON AV,Residential,45
S HUNTINGTON AV,Residential (Mixed-Use),4
S HUNTINGTON AV,Vacant,1
S MUNROE TE,Residential,23
S MUNROE TE,Vacant,1
S QUINCY PL,Residential,1
S RUSSELL ST,Public & Quasi-Public,1
S RUSSELL ST,Residential,31
S SYDNEY ST,Residential,4
S WALTER ST,Commercial,1
S WALTER ST,Public & Quasi-Public,1
S WALTER ST,Residential,5
S WALTER ST,Vacant,1
S WAVERLY ST,Commercial,1
S WAVERLY ST,Residential,23
S WAVERLY ST,Vacant,2
S WHITNEY ST,Residential,5
SACHEM ST,Public & Quasi-Public,5
SACHEM ST,Residential,15
SACHEM ST,Vacant,2
SACKVILLE ST,Residential,21
SACKVILLE ST,Vacant,2
SACO ST,Residential,6
SAFFORD ST,Public & Quasi-Public,1
SAFFORD ST,Residential,29
SAGAMORE ST,Residential,32
SAGAMORE ST,Vacant,4
SALCOMBE ST,Residential,8
SALEM CT,Public & Quasi-Public,2
SALEM CT,Vacant,1
SALEM ST,Commercial,12
SALEM ST,Industrial,2
SALEM ST,Public & Quasi-Public,3
SALEM ST,Residential,49
SALEM ST,Residential (Mixed-Use),5
SALEM STREET AV,Residential,2
SALEM STREET AV,Vacant,1
SALERNO PL,Vacant,8
SALINA RD,Residential,6
SALISBURY PK,Residential,4
SALISBURY PK,Vacant,1
SALMAN ST,Residential,55
SALMAN ST,Vacant,9
SALUTATION ST,Public & Quasi-Public,2
SALUTATION ST,Residential,5
SAMMETT AV,Residential,21
SAMMETT AV,Vacant,3
SAMOSET ST,Residential,23
SAMOSET ST,Vacant,4
SAN JUAN ST,Industrial,1
SAN JUAN ST,Public & Quasi-Public,3
SAN JUAN ST,Residential,1
SAN JUAN ST,Residential (Mixed-Use),5
SANBORN AV,Residential,78
SANBORN AV,Vacant,2
SANDERSON PL,Residential,12
SANDGRAV RD,Public & Quasi-Public,1
SANDGRAV RD,Vacant,2
SANDPIPER LA,Residential,1
SANFORD ST,Commercial,1
SANFORD ST,Residential,43
SANFORD ST,Vacant,3
SANGER ST,Residential,5
SANTUIT ST,Residential,11
SARANAC ST,Residential,16
SARANAC ST,Vacant,1
SARATOGA PL,Residential,2
SARATOGA PL,Vacant,3
SARATOGA ST,Commercial,25
SARATOGA ST,Industrial,1
SARATOGA ST,Public & Quasi-Public,9
SARATOGA ST,Residential,430
SARATOGA ST,Residential (Mixed-Use),14
SARATOGA ST,Vacant,24
SARGENT CW,Residential,1
SARGENT CW,Vacant,4
SARGENT ST,Public & Quasi-Public,5
SARGENT ST,Residential,25
SARGENT ST,Vacant,9
SARGENTS WHARF ,Public & Quasi-Public,1
SAUNDERS ST,Residential,25
SAVANNAH AV,Public & Quasi-Public,23
SAVANNAH AV,Residential,52
SAVANNAH AV,Vacant,13
SAVILLE ST,Residential,2
SAVIN HILL AV,Commercial,5
SAVIN HILL AV,Public & Quasi-Public,5
SAVIN HILL AV,Residential,145
SAVIN HILL AV,Residential (Mixed-Use),3
SAVIN HILL AV,Vacant,15
SAVIN HILL CT,Residential,5
SAVIN HILL CT,Vacant,2
SAVIN HILL LA,Residential,1
SAVIN HILL LA,Vacant,1
SAVIN ST,Commercial,1
SAVIN ST,Public & Quasi-Public,5
SAVIN ST,Residential,36
SAVIN ST,Residential (Mixed-Use),1
SAVIN ST,Vacant,8
SAVOY ST,Vacant,2
SAWYER AV,Residential,35
SAWYER AV,Vacant,3
SAWYER TE,Residential,6
SAWYER TE,Residential (Mixed-Use),1
SAWYER TE,Vacant,2
SAXTON ST,Residential,51
SAXTON ST,Residential (Mixed-Use),1
SAYBROOK ST,Residential,15
SAYBROOK ST,Residential (Mixed-Use),2
SAYBROOK ST,Vacant,5
SAYBROOK TE,Commercial,2
SAYBROOK TE,Vacant,5
SAYWARD PL,Residential,1
SAYWARD ST,Public & Quasi-Public,1
SAYWARD ST,Residential,11
SCHILLER RD,Residential,14
SCHILLER RD,Vacant,1
SCHILLER ST,Residential,3
SCHILLER ST,Residential (Mixed-Use),1
SCHILLER ST,Vacant,1
SCHIRMER RD,Residential,7
SCHOOL ST,Commercial,5
SCHOOL ST,Public & Quasi-Public,9
SCHOOL ST,Residential,107
SCHOOL ST,Residential (Mixed-Use),2
SCHOOL ST,Vacant,6
SCHOOL STREET PL,Residential,6
SCHORTMANNS TE,Residential,3
SCHREPEL PL,Residential,1
SCHROEDER PZ,Public & Quasi-Public,1
SCHUBERT ST,Public & Quasi-Public,1
SCHUBERT ST,Residential,1
SCHUBERT ST,Vacant,1
SCHUYLER ST,Public & Quasi-Public,1
SCHUYLER ST,Residential,22
SCHUYLER ST,Vacant,5
SCOTIA ST,Industrial,2
SCOTIA ST,Vacant,1
SCOTTFIELD RD,Residential,3
SCRIBNER RD,Residential,4
SEA VIEW AV,Residential,12
SEA VIEW TE,Public & Quasi-Public,1
SEA VIEW TE,Residential,1
SEA VIEW TE,Vacant,2
SEABORN ST,Residential,6
SEAFOOD WY,Commercial,1
SEAFOOD WY,Industrial,2
SEAGER CT,Residential,4
SEAGER CT,Vacant,1
SEAPORT BL,Commercial,8
SEAPORT BL,Public & Quasi-Public,3
SEAPORT BL,Residential,1
SEAPORT BL,Vacant,7
SEAPORT LA,Public & Quasi-Public,1
SEAPORT LA,Vacant,1
SEARLE RD,Residential,38
SEARLE RD,Vacant,2
SEATTLE ST,Commercial,3
SEATTLE ST,Public & Quasi-Public,1
SEATTLE ST,Residential,20
SEATTLE ST,Vacant,9
SEAVER ST,Commercial,7
SEAVER ST,Public & Quasi-Public,8
SEAVER ST,Residential,53
SEAVER ST,Residential (Mixed-Use),7
SEAVER ST,Vacant,3
SEAVERNS AV,Commercial,2
SEAVERNS AV,Public & Quasi-Public,1
SEAVERNS AV,Residential,17
SEAVERNS AV,Vacant,2
SEDALIA RD,Residential,13
SEDGWICK ST,Public & Quasi-Public,2
SEDGWICK ST,Residential,22
SEFTON ST,Residential,19
SEFTON ST,Vacant,2
SEGEL ST,Residential,2
SELDEN ST,Public & Quasi-Public,3
SELDEN ST,Residential,49
SELKIRK RD,Residential,3
SELMA ST,Public & Quasi-Public,1
SELMA ST,Residential,1
SELMA ST,Vacant,1
SELWYN ST,Public & Quasi-Public,9
SELWYN ST,Residential,23
SELWYN ST,Vacant,2
SEMINARY ST,Residential,1
SEMINOLE ST,Residential,21
SEMINOLE ST,Vacant,3
SEMONT RD,Residential,26
SENATOR BOLLING CI,Residential,9
SENATOR BOLLING CI,Vacant,20
SENDERS CT,Residential,13
SENTRY HILL PL,Residential,7
SERVICE DR,Public & Quasi-Public,1
SEVENTH ST,Public & Quasi-Public,1
SEVER ST,Commercial,1
SEWALL ST,Residential,10
SEWALL ST,Vacant,6
SEXTON CT,Residential,2
SEYMOUR RD,Vacant,16
SEYMOUR ST,Public & Quasi-Public,2
SEYMOUR ST,Residential,31
SEYMOUR ST,Vacant,1
SHABAZZ WY,Public & Quasi-Public,4
SHAFTER ST,Residential,28
SHAFTER ST,Vacant,2
SHANAHAN PL,Public & Quasi-Public,1
SHANDON RD,Public & Quasi-Public,5
SHANLEY ST,Commercial,1
SHANLEY ST,Residential,5
SHANNON ST,Residential,25
SHARP ST,Commercial,1
SHARP ST,Public & Quasi-Public,2
SHARP ST,Residential,1
SHATTUCK ST,Public & Quasi-Public,3
SHAW ST,Residential,15
SHAWMUT AV,Commercial,3
SHAWMUT AV,Public & Quasi-Public,23
SHAWMUT AV,Residential,68
SHAWMUT AV,Residential (Mixed-Use),22
SHAWMUT AV,Vacant,8
SHAWMUT ST,Commercial,3
SHAWMUT ST,Residential,2
SHAWMUT ST,Vacant,1
SHAWSHEEN RD,Commercial,1
SHAWSHEEN RD,Residential,1
SHEAFE ST,Residential,35
SHEAFE ST,Vacant,2
SHEFFIELD RD,Residential,14
SHELBY ST,Commercial,3
SHELBY ST,Residential,12
SHELBY ST,Residential (Mixed-Use),1
SHELDON ST,Residential,14
SHENANDOAH ST,Public & Quasi-Public,1
SHENANDOAH ST,Residential,12
SHEPARD CT,Residential,2
SHEPARD PL,Residential,2
SHEPARD PL,Vacant,1
SHEPARD ST,Commercial,2
SHEPARD ST,Residential,29
SHEPARD ST,Vacant,1
SHEPHERD AV,Residential,9
SHEPTON ST,Residential,36
SHEPTON TE,Residential,7
SHEPTON TE,Vacant,1
SHERBORN ST,Public & Quasi-Public,1
SHERBROOK ST,Residential,16
SHERIDAN PL,Residential,1
SHERIDAN ST,Residential,46
SHERMAN SQ,Vacant,7
SHERMAN ST,Commercial,3
SHERMAN ST,Industrial,1
SHERMAN ST,Public & Quasi-Public,1
SHERMAN ST,Residential,9
SHERMAN ST,Vacant,3
SHERRIN ST,Public & Quasi-Public,4
SHERRIN ST,Residential,57
SHERRIN ST,Vacant,2
SHERWOOD CT,Residential,1
SHERWOOD CT,Vacant,2
SHERWOOD ST,Residential,33
SHETLAND ST,Commercial,3
SHETLAND ST,Residential,3
SHETLAND ST,Vacant,3
SHIRLEY ST,Commercial,8
SHIRLEY ST,Industrial,3
SHIRLEY ST,Public & Quasi-Public,7
SHIRLEY ST,Residential,27
SHIRLEY ST,Vacant,13
SHORT ST,Public & Quasi-Public,1
SHORT ST,Residential,7
SHORT ST,Vacant,3
SHORT STREET PL,Residential,8
SHORT STREET PL,Vacant,1
SHREWSBURY RD,Residential,4
SHURLAND ST,Residential,2
SIDLAW RD,Public & Quasi-Public,3
SIDLEY RD,Residential,4
SIERRA RD,Commercial,1
SIERRA RD,Residential,9
SIERRA RD,Vacant,7
SIGOURNEY ST,Residential,5
SIGOURNEY ST,Vacant,1
SILLOWAY ST,Residential,11
SILVA PL,Residential,1
SILVA PL,Vacant,1
SILVER ST,Commercial,3
SILVER ST,Public & Quasi-Public,4
SILVER ST,Residential,47
SILVER ST,Vacant,17
SILVIA CT,Residential,12
SIMBROCO ST,Commercial,1
SINCLAIR RD,Residential,2
SIXTEENTH ST,Public & Quasi-Public,2
SIXTH ST,Public & Quasi-Public,2
SIXTH ST,Residential,1
SKYLINE RD,Residential,11
SKYLINE RD,Vacant,1
SLEEPER ST,Commercial,4
SLEEPER ST,Public & Quasi-Public,2
SLEEPER ST,Vacant,2
SLOCUM RD,Residential,25
SMITH CT,Public & Quasi-Public,1
SMITH CT,Residential,5
SMITH ST,Commercial,1
SMITH ST,Public & Quasi-Public,4
SMITH ST,Residential (Mixed-Use),1
SMITH ST,Vacant,1
SNELLING PL,Residential,3
SNOW HILL ST,Residential,17
SNOW ST,Residential,18
SNOWDEN WY,Residential,25
SNOWDEN WY,Vacant,1
SOBIN PK,Vacant,5
SOJOURNER TRUTH PL,Public & Quasi-Public,1
SOLARIS RD,Residential,13
SOLARIS RD,Vacant,5
SOLDIERS FIELD PL,Commercial,4
SOLDIERS FIELD RD,Commercial,19
SOLDIERS FIELD RD,Industrial,2
SOLDIERS FIELD RD,Public & Quasi-Public,6
SOLDIERS FIELD RD,Residential,1
SOLDIERS FIELD RD,Vacant,4
SOLDIERS FIELD RD XT,Commercial,1
SOLEY ST,Public & Quasi-Public,1
SOLEY ST,Residential,24
SOLEY ST,Vacant,1
SOMERSET ST,Public & Quasi-Public,3
SOMERSET ST,Vacant,1
SONOMA ST,Public & Quasi-Public,1
SONOMA ST,Residential,7
SORRENTO ST,Residential,6
SOUTH ST,Commercial,36
SOUTH ST,Industrial,1
SOUTH ST,Public & Quasi-Public,24
SOUTH ST,Residential,178
SOUTH ST,Residential (Mixed-Use),7
SOUTH ST,Vacant,13
SOUTHAMPTON ST,Commercial,13
SOUTHAMPTON ST,Industrial,3
SOUTHAMPTON ST,Public & Quasi-Public,8
SOUTHAMPTON ST,Vacant,11
SOUTHBOURNE RD,Public & Quasi-Public,2
SOUTHBOURNE RD,Residential,49
SOUTHBOURNE RD,Vacant,4
SOUTHER RD,Residential,7
SOUTHER RD,Vacant,1
SOUTHERN AV,Commercial,1
SOUTHERN AV,Public & Quasi-Public,4
SOUTHERN AV,Residential,28
SOUTHERN AV,Residential (Mixed-Use),1
SOUTHERN AV,Vacant,2
SOUTHMERE RD,Residential,13
SOUTHVIEW ST,Residential,5
SOUTHWICK ST,Residential,6
SOUTHWOOD ST,Public & Quasi-Public,1
SOUTHWOOD ST,Residential,3
SOUTHWOOD ST,Vacant,7
SPALDING ST,Residential,7
SPALDING ST,Vacant,4
SPARHAWK ST,Public & Quasi-Public,2
SPARHAWK ST,Residential,21
SPARROW ST,Residential,13
SPAULDING ST,Residential,15
SPECTACLE ISLAND ,Public & Quasi-Public,6
SPEEDWAY AV,Commercial,2
SPEEDWELL ST,Public & Quasi-Public,1
SPEEDWELL ST,Residential,20
SPENCER ST,Public & Quasi-Public,3
SPENCER ST,Residential,52
SPENCER ST,Vacant,5
SPICE ST,Commercial,5
SPICE ST,Industrial,2
SPICE ST,Residential (Mixed-Use),1
SPICE ST,Vacant,1
SPINNEY ST,Residential,4
SPRAGUE ST,Commercial,13
SPRAGUE ST,Industrial,7
SPRAGUE ST,Public & Quasi-Public,4
SPRAGUE ST,Residential,14
SPRAGUE ST,Vacant,9
SPRING GARDEN ST,Residential,30
SPRING HILL RD,Residential,11
SPRING HILL RD,Vacant,4
SPRING PARK AV,Residential,42
SPRING PARK AV,Vacant,1
SPRING RD,Public & Quasi-Public,7
SPRING RD,Residential,3
SPRING RD,Vacant,8
SPRING ST,Commercial,25
SPRING ST,Industrial,1
SPRING ST,Public & Quasi-Public,3
SPRING ST,Residential,35
SPRING ST,Vacant,7
SPRING VALLEY RD,Residential,14
SPRINGDALE ST,Commercial,1
SPRINGDALE ST,Public & Quasi-Public,3
SPRINGDALE ST,Residential,1
SPRINGDALE ST,Vacant,1
SPRINGER ST,Residential,9
SPRINGER ST,Vacant,2
SPRINGVALE AV,Commercial,1
SPRINGVALE AV,Public & Quasi-Public,1
SPRINGVALE AV,Vacant,2
SPRUCE CT,Residential,3
SPRUCE CT,Vacant,1
SPRUCE PL,Residential,1
SPRUCE ST,Residential,2
ST ALBANS RD,Public & Quasi-Public,1
ST ALBANS RD,Residential,3
ST ALBANS RD,Vacant,2
ST ALPHONSUS ST,Public & Quasi-Public,4
ST ALPHONSUS ST,Residential,12
ST ANDREW RD,Residential,75
ST ANDREW RD,Vacant,1
ST BOTOLPH ST,Commercial,5
ST BOTOLPH ST,Public & Quasi-Public,4
ST BOTOLPH ST,Residential,54
ST BOTOLPH ST,Residential (Mixed-Use),1
ST BOTOLPH ST,Vacant,2
ST BRENDAN RD,Residential,27
ST CECELIA ST,Public & Quasi-Public,1
ST CHARLES ST,Residential,12
ST CHARLES ST,Vacant,1
ST CLARE RD,Residential,5
ST CLARE RD,Vacant,1
ST CYPRIANS PL,Public & Quasi-Public,3
ST CYPRIANS PL,Residential,3
ST CYPRIANS PL,Vacant,1
ST EDWARD RD,Residential,8
ST FRANCIS DE SALES CT,Public & Quasi-Public,1
ST GERMAIN ST,Commercial,47
ST GERMAIN ST,Residential,7
ST GREGORY ST,Residential,36
ST GREGORY ST,Vacant,1
ST JAMES AV,Commercial,2
ST JAMES AV,Public & Quasi-Public,1
ST JAMES PL,Residential,6
ST JAMES ST,Commercial,1
ST JAMES ST,Public & Quasi-Public,7
ST JAMES ST,Residential,18
ST JAMES ST,Vacant,6
ST JOHN ST,Public & Quasi-Public,1
ST JOHN ST,Residential,30
ST JOHN ST,Vacant,1
ST JOSEPH ST,Residential,9
ST JOSEPH ST,Vacant,3
ST LUKES RD,Public & Quasi-Public,1
ST LUKES RD,Residential,14
ST MARGARET ST,Residential,33
ST MARGARET ST,Vacant,2
ST MARKS RD,Residential,36
ST MARTIN ST,Residential,14
ST MARTIN ST,Vacant,4
ST MARYS ST,Commercial,1
ST MARYS ST,Public & Quasi-Public,2
ST MARYS ST,Residential,4
ST PAULS AV,Public & Quasi-Public,1
ST PAULS AV,Residential,1
ST PAULS AV,Vacant,2
ST PETER ST,Residential,11
ST RICHARD ST,Vacant,1
ST ROSE ST,Public & Quasi-Public,1
ST ROSE ST,Residential,30
ST ROSE ST,Vacant,2
ST STEPHEN ST,Commercial,1
ST STEPHEN ST,Public & Quasi-Public,13
ST STEPHEN ST,Residential,30
ST STEPHEN ST,Vacant,1
ST THERESA AV,Public & Quasi-Public,7
ST THERESA AV,Residential,17
ST THERESA AV,Vacant,1
ST THOMAS MORE RD,Public & Quasi-Public,1
ST WILLIAM ST,Residential,7
STACEY ST,Residential (Mixed-Use),1
STADIUM WY,Vacant,1
STAFFORD ST,Public & Quasi-Public,4
STAFFORD ST,Residential,8
STAFFORD ST,Vacant,2
STANBRO ST,Residential,24
STANBRO ST,Vacant,1
STANDARD ST,Residential,28
STANDARD ST,Vacant,3
STANDISH ST,Public & Quasi-Public,2
STANDISH ST,Residential,10
STANDISH ST,Vacant,3
STANHOPE ST,Commercial,3
STANHOPE ST,Residential,1
STANHOPE ST,Residential (Mixed-Use),1
STANIFORD ST,Commercial,1
STANIFORD ST,Public & Quasi-Public,2
STANLEY ST,Public & Quasi-Public,4
STANLEY ST,Residential,20
STANLEY ST,Vacant,5
STANTON ST,Public & Quasi-Public,4
STANTON ST,Residential,28
STANTON ST,Vacant,1
STANWOOD ST,Public & Quasi-Public,2
STANWOOD ST,Residential,54
STANWOOD ST,Vacant,6
STANWOOD TE,Residential,1
STANWOOD TE,Vacant,1
STAR ST,Vacant,1
STARBIRD AV,Residential,15
STARR LA,Commercial,1
STARR LA,Public & Quasi-Public,1
STARR LA,Residential,5
STARR LA,Vacant,1
STATE ST,Commercial,17
STATE ST,Public & Quasi-Public,3
STATE ST,Residential,2
STATE ST,Vacant,8
STATION ST,Commercial,2
STATION ST,Public & Quasi-Public,4
STEARNS RD,Residential,22
STEARNS RD,Vacant,6
STEDMAN ST,Commercial,2
STEDMAN ST,Industrial,1
STEDMAN ST,Public & Quasi-Public,1
STEDMAN ST,Residential,3
STEDMAN ST,Vacant,4
STELLA RD,Residential,12
STELLA RD,Vacant,2
STELLMAN RD,Public & Quasi-Public,1
STELLMAN RD,Residential,30
STELLMAN RD,Vacant,2
STILLINGS ST,Commercial,1
STILLINGS ST,Vacant,1
STILLMAN PL,Residential,3
STILLMAN ST,Residential,11
STILLMAN ST,Vacant,4
STIMSON RD,Public & Quasi-Public,4
STIMSON RD,Residential,5
STIMSON RD,Vacant,3
STIMSON ST,Public & Quasi-Public,1
STIMSON ST,Residential,70
STIMSON ST,Vacant,7
STOCK ST,Residential,10
STOCKTON ST,Residential,45
STOCKTON ST,Vacant,2
STOCKWELL ST,Residential,8
STONE TE,Residential,4
STONECREST RD,Residential,28
STONECREST RD,Vacant,2
STONEHILL RD,Public & Quasi-Public,1
STONEHILL RD,Residential,19
STONEHILL RD,Vacant,2
STONEHILL TE,Residential,2
STONEHOLM ST,Commercial,1
STONEHURST ST,Residential,17
STONEHURST ST,Vacant,2
STONLEY RD,Commercial,1
STONLEY RD,Industrial,1
STONY BROOK ,Public & Quasi-Public,1
STONY BROOK RESERVATION ,Public & Quasi-Public,9
STOREY PL,Residential,4
STORY ST,Residential,22
STORY ST,Vacant,1
STOUGHTON ST,Commercial,5
STOUGHTON ST,Public & Quasi-Public,2
STOUGHTON ST,Residential,26
STOUGHTON ST,Residential (Mixed-Use),1
STOUGHTON ST,Vacant,3
STOUGHTON STREET PL,Residential,4
STOUGHTON TE,Residential,2
STOW RD,Residential,18
STOW RD,Vacant,1
STRATFORD ST,Public & Quasi-Public,1
STRATFORD ST,Residential,99
STRATFORD ST,Vacant,2
STRATHCONA RD,Residential,4
STRATHMORE RD,Public & Quasi-Public,1
STRATHMORE RD,Residential,28
STRATTON ST,Public & Quasi-Public,8
STRATTON ST,Residential,24
STRATTON ST,Vacant,3
STREET A ,Commercial,2
STREET A ,Industrial,1
STREET A ,Public & Quasi-Public,2
STREET C ,Commercial,1
STRONG PL,Residential,7
STUART ST,Commercial,19
STUART ST,Public & Quasi-Public,4
STUART ST,Residential,1
STUART ST,Vacant,2
STURBRIDGE ST,Residential,19
STURBRIDGE ST,Vacant,1
STURGES RD,Residential,11
STURTEVANT ST,Commercial,1
STURTEVANT ST,Industrial,2
STURTEVANT ST,Vacant,1
SUDAN ST,Residential,30
SULLIVAN ST,Residential,23
SULLIVAN ST,Vacant,6
SUMMER ST,Commercial,45
SUMMER ST,Industrial,2
SUMMER ST,Public & Quasi-Public,36
SUMMER ST,Residential,89
SUMMER ST,Vacant,20
SUMMIT AV,Residential,26
SUMMIT AV,Vacant,2
SUMMIT CI,Residential,5
SUMMIT ST,Residential,54
SUMMIT ST,Vacant,2
SUMNER ,Residential,1
SUMNER AV,Residential,1
SUMNER AV,Vacant,1
SUMNER PK,Residential,6
SUMNER PL,Residential,2
SUMNER PL,Vacant,4
SUMNER SQ,Residential,4
SUMNER ST,Commercial,8
SUMNER ST,Public & Quasi-Public,13
SUMNER ST,Residential,144
SUMNER ST,Residential (Mixed-Use),8
SUMNER ST,Vacant,15
SUMNER TE,Residential,5
SUN COURT ST,Public & Quasi-Public,1
SUNAPEE LA,Residential,5
SUNAPEE LA,Vacant,1
SUNCREST RD,Public & Quasi-Public,3
SUNCREST RD,Residential,8
SUNCREST RD,Vacant,1
SUNDERLAND ST,Residential,4
SUNDERLAND ST,Vacant,1
SUNNYBANK RD,Residential,11
SUNNYSIDE ST,Public & Quasi-Public,2
SUNNYSIDE ST,Residential,66
SUNNYSIDE ST,Vacant,1
SUNSET AV,Residential,1
SUNSET HILL PA,Residential,1
SUNSET HILL RD,Residential,40
SUNSET HILL RD,Vacant,2
SUNSET LA,Residential,2
SUNSET LN,Residential,1
SUNSET ST,Residential,10
SUPPLE RD,Residential,24
SUPPLE RD,Residential (Mixed-Use),1
SURREY ST,Residential,21
SURREYHILL LA,Residential,5
SUSANNA CT,Residential,7
SUSSEX ST,Residential,16
SUSSEX ST,Residential (Mixed-Use),1
SUSSEX ST,Vacant,7
SUTHERLAND RD,Commercial,3
SUTHERLAND RD,Residential,23
SUTTON ST,Residential,12
SUTTON ST,Vacant,2
SWALLOW ST,Residential,9
SWALLOW ST,Vacant,1
SWAN AV,Residential,14
SWAN AV,Vacant,4
SWAN CT,Residential,2
SWAN CT,Vacant,1
SWAN ST,Residential,4
SWIFT ST,Commercial,1
SWIFT ST,Residential,1
SWIFT TE,Public & Quasi-Public,2
SWIFT TE,Residential,8
SYCAMORE ST,Public & Quasi-Public,1
SYCAMORE ST,Residential,64
SYCAMORE ST,Vacant,3
SYDNEY ST,Commercial,1
SYDNEY ST,Public & Quasi-Public,6
SYDNEY ST,Residential,74
SYDNEY ST,Residential (Mixed-Use),1
SYDNEY ST,Vacant,11
SYLVESTER RD,Residential,14
SYLVESTER RD,Vacant,1
SYLVIA ST,Residential,1
SYMMES ST,Public & Quasi-Public,1
SYMMES ST,Residential,18
SYMMES ST,Vacant,1
SYMPHONY RD,Public & Quasi-Public,3
SYMPHONY RD,Residential,32
TABER ST,Commercial,1
TABER ST,Vacant,2
TACOMA ST,Residential,40
TACOMA ST,Vacant,4
TAFT CT,Commercial,2
TAFT ST,Residential,22
TAFTHILL PK,Public & Quasi-Public,1
TAFTHILL PK,Residential,1
TAFTHILL TE,Residential,6
TAFTHILL TE,Vacant,2
TAFTS AV,Vacant,1
TAI TUNG ST,Vacant,1
TALBOT AV,Commercial,12
TALBOT AV,Industrial,1
TALBOT AV,Public & Quasi-Public,9
TALBOT AV,Residential,61
TALBOT AV,Residential (Mixed-Use),9
TALBOT AV,Vacant,18
TALBOT PL,Vacant,2
TAMPA ST,Public & Quasi-Public,1
TAMPA ST,Residential,21
TAMPA ST,Vacant,2
TANGLEWOOD RD,Residential,2
TANGLEWOOD RD,Vacant,1
TAPPAN ST,Residential,13
TARLETON RD,Public & Quasi-Public,1
TARLETON RD,Residential,8
TARLETON RD,Vacant,1
TAUNTON AV,Residential,62
TAUNTON AV,Vacant,8
TAVERN RD,Public & Quasi-Public,1
TAYLOR ST,Public & Quasi-Public,6
TAYLOR ST,Residential,15
TAYLOR ST,Vacant,4
TAYLOR TE,Residential,3
TCHAPITOULAS ST,Public & Quasi-Public,2
TEARSEN ST,Vacant,1
TEBROC ST,Public & Quasi-Public,2
TEBROC ST,Residential,3
TEBROC ST,Vacant,1
TELEGRAPH ST,Residential,28
