st_loc,ptype,0
ASHBURTON PL,346.0,1
ASHBURTON PL,387.0,1
ASHBURTON PL,901.0,1
ASHBURTON PL,977.0,1
ASHCROFT ST,101.0,2
ASHCROFT ST,104.0,3
ASHCROFT ST,105.0,1
ASHEVILLE RD,101.0,22
ASHEVILLE RD,104.0,1
ASHEVILLE RD,106.0,1
ASHEVILLE ST,101.0,2
ASHFIELD ST,101.0,14
ASHFIELD ST,104.0,7
ASHFIELD ST,105.0,2
ASHFORD CT,112.0,1
ASHFORD ST,101.0,4
ASHFORD ST,104.0,21
ASHFORD ST,105.0,8
ASHFORD ST,111.0,4
ASHFORD ST,112.0,2
ASHFORD ST,113.0,1
ASHFORD ST,121.0,1
ASHFORD ST,337.0,1
ASHFORD ST,400.0,1
ASHFORD ST,947.0,2
ASHFORD ST,977.0,1
ASHFORD TE,101.0,2
ASHLAND AV,101.0,2
ASHLAND AV,106.0,1
ASHLAND ST,101.0,6
ASHLAND ST,104.0,11
ASHLAND ST,105.0,3
ASHLAND ST,111.0,2
ASHLAND ST,132.0,1
ASHLEY ST,101.0,15
ASHLEY ST,104.0,13
ASHLEY ST,105.0,16
ASHLEY ST,109.0,1
ASHLEY ST,130.0,1
ASHLEY ST,132.0,5
ASHLEY ST,906.0,3
ASHLEY ST,970.0,1
ASHLEY ST,985.0,1
ASHMONT CT,105.0,3
ASHMONT PK,101.0,3
ASHMONT PK,104.0,1
ASHMONT PK,132.0,1
ASHMONT ST,13.0,2
ASHMONT ST,31.0,2
ASHMONT ST,101.0,62
ASHMONT ST,104.0,54
ASHMONT ST,105.0,25
ASHMONT ST,111.0,3
ASHMONT ST,117.0,1
ASHMONT ST,132.0,5
ASHMONT ST,906.0,1
ASHMONT ST,908.0,1
ASHMONT ST,985.0,5
ASHMORE RD,106.0,1
ASHTON ST,101.0,10
ASHTON ST,105.0,2
ASHTON ST,111.0,1
ASHTON ST,130.0,3
ASHTON ST,390.0,1
ASHTON ST,902.0,2
ASHTON ST,970.0,2
ASHTON ST,985.0,1
ASHWOOD TE,105.0,1
ASHWOOD TE,132.0,1
ASHWOOD TE,985.0,1
ASPEN ST,101.0,2
ASPEN ST,104.0,2
ASPEN ST,111.0,1
ASPINWALL RD,101.0,2
ASPINWALL RD,104.0,10
ASPINWALL RD,105.0,9
ASPINWALL RD,111.0,1
ASPINWALL RD,132.0,1
ASPINWALL RD,304.0,1
ASPINWALL RD,327.0,1
ASPINWALL RD,337.0,1
ASPINWALL RD,902.0,1
ASTICOU RD,101.0,1
ASTICOU RD,104.0,8
ASTICOU RD,105.0,2
ASTICOU RD,987.0,1
ASTORIA ST,101.0,4
ASTORIA ST,104.0,9
ASTORIA ST,105.0,15
ASTORIA ST,111.0,1
ASTORIA ST,132.0,2
ATHELWOLD ST,101.0,12
ATHELWOLD ST,104.0,5
ATHELWOLD ST,105.0,3
ATHELWOLD ST,132.0,5
ATHENS ST,13.0,3
ATHENS ST,101.0,25
ATHENS ST,104.0,4
ATHENS ST,105.0,8
ATHENS ST,112.0,1
ATHENS ST,125.0,3
ATHENS ST,130.0,2
ATHENS ST,132.0,6
ATHENS ST,337.0,5
ATHENS ST,390.0,8
ATHENS ST,402.0,1
ATHENS ST,905.0,1
ATHENS ST,985.0,1
ATHENS ST,986.0,1
ATHERSTONE ST,101.0,8
ATHERSTONE ST,104.0,2
ATHERTON AV,101.0,5
ATHERTON AV,901.0,1
ATHERTON PL,101.0,4
ATHERTON PL,104.0,1
ATHERTON ST,101.0,17
ATHERTON ST,104.0,18
ATHERTON ST,105.0,3
ATHERTON ST,904.0,1
ATHERTON ST,985.0,1
ATHOL ST,101.0,7
ATHOL ST,105.0,6
ATHOL ST,111.0,1
ATHOL ST,132.0,2
ATHOL ST,976.0,1
ATKINS ST,101.0,1
ATKINS ST,104.0,11
ATKINS ST,105.0,7
ATKINS ST,111.0,1
ATKINSON ST,316.0,1
ATKINSON ST,985.0,1
ATKINSON ST,986.0,1
ATLANTIC AV,31.0,1
ATLANTIC AV,130.0,1
ATLANTIC AV,326.0,1
ATLANTIC AV,327.0,1
ATLANTIC AV,344.0,3
ATLANTIC AV,346.0,4
ATLANTIC AV,347.0,1
ATLANTIC AV,348.0,2
ATLANTIC AV,390.0,3
ATLANTIC AV,901.0,1
ATLANTIC AV,903.0,4
ATLANTIC AV,905.0,2
ATLANTIC AV,908.0,2
ATLANTIC AV,985.0,3
ATLANTIC AV,986.0,5
ATLANTIC ST,101.0,13
ATLANTIC ST,104.0,1
ATLANTIC ST,130.0,1
ATLANTIS ST,101.0,15
ATLANTIS ST,132.0,1
ATWILL RD,101.0,14
ATWOOD SQ,132.0,2
AU BON PAIN WY,985.0,1
AUBURN PL,101.0,1
AUBURN SQ,101.0,1
AUBURN SQ,104.0,2
AUBURN ST,101.0,9
AUBURN ST,104.0,12
AUBURN ST,105.0,2
AUBURN ST,111.0,2
AUBURN ST,130.0,1
AUBURN TE,130.0,1
AUCKLAND ST,101.0,6
AUCKLAND ST,104.0,14
AUCKLAND ST,105.0,15
AUCKLAND ST,125.0,3
AUCKLAND ST,390.0,1
AUGUSTUS AV,101.0,12
AUGUSTUS AV,104.0,15
AUGUSTUS AV,105.0,1
AUGUSTUS AV,109.0,1
AUGUSTUS AV,130.0,1
AURIGA ST,101.0,23
AUSTIN AV,401.0,1
AUSTIN AV,440.0,1
AUSTIN ST,25.0,1
AUSTIN ST,101.0,70
AUSTIN ST,104.0,39
AUSTIN ST,105.0,5
AUSTIN ST,106.0,1
AUSTIN ST,132.0,1
AUSTIN ST,323.0,1
AUSTIN ST,390.0,2
AUSTIN ST,440.0,4
AUSTIN ST,441.0,3
AUSTIN ST,901.0,4
AUSTIN ST,903.0,1
AUSTIN ST,905.0,2
AUSTIN ST,985.0,10
AUSTIN ST,986.0,3
AUTUMN ST,101.0,7
AUTUMN ST,132.0,1
AUTUMN ST,979.0,6
AVALON RD,101.0,27
AVALON RD,104.0,3
AVALON RD,132.0,1
AVENUE DE LAFAYETTE ,905.0,2
AVENUE DE LAFAYETTE ,985.0,1
AVENUE LOUIS PASTEUR ,306.0,1
AVENUE LOUIS PASTEUR ,937.0,1
AVENUE LOUIS PASTEUR ,955.0,1
AVENUE LOUIS PASTEUR ,976.0,1
AVENUE LOUIS PASTEUR ,977.0,1
AVERBUCH TE,111.0,1
AVERTON ST,101.0,8
AVERTON ST,104.0,7
AVERTON ST,105.0,6
AVERTON ST,106.0,1
AVERTON ST,390.0,1
AVERY PL,132.0,1
AVERY ST,13.0,1
AVILA RD,101.0,8
AVILA RD,105.0,2
AVILA RD,132.0,3
AVON PL,101.0,5
AVON PL,106.0,1
AVON PL,130.0,2
AVON ST,101.0,4
AVON ST,132.0,1
AVON ST,902.0,1
AVONDALE ST,101.0,11
AVONDALE ST,104.0,2
AVONDALE ST,337.0,1
AVONDALE ST,985.0,2
AYLES RD,101.0,21
AYR RD,13.0,1
