st_loc,building_typology,0
ASHWOOD TE,Multi-Family (3 units),1
ASHWOOD TE,Vacant,1
ASPEN ST,Multi-Family (2 units),2
ASPEN ST,Multi-Family (4-6 units),1
ASPEN ST,Single-Family,2
ASPINWALL RD,Garage,1
ASPINWALL RD,Multi-Family (2 units),10
ASPINWALL RD,Multi-Family (3 units),9
ASPINWALL RD,Multi-Family (4-6 units),1
ASPINWALL RD,Office,1
ASPINWALL RD,Restaurant,1
ASPINWALL RD,Single-Family,2
ASPINWALL RD,Vacant,1
ASTICOU RD,Multi-Family (2 units),8
ASTICOU RD,Multi-Family (3 units),2
ASTICOU RD,Single-Family,1
ASTICOU RD,Vacant,1
ASTORIA ST,Multi-Family (2 units),9
ASTORIA ST,Multi-Family (3 units),15
ASTORIA ST,Multi-Family (4-6 units),1
ASTORIA ST,Single-Family,4
ASTORIA ST,Vacant,2
ATHELWOLD ST,Multi-Family (2 units),5
ATHELWOLD ST,Multi-Family (3 units),3
ATHELWOLD ST,Single-Family,12
ATHELWOLD ST,Vacant,5
ATHENS ST,Convention/Assembly,1
ATHENS ST,Garage,5
ATHENS ST,Multi-Family (2 units),4
ATHENS ST,Multi-Family (3 units),8
ATHENS ST,Multi-Family (7-30 units),1
ATHENS ST,Office,1
ATHENS ST,Residential (Mixed-Use),3
ATHENS ST,Single-Family,25
ATHENS ST,Vacant,17
ATHERSTONE ST,Multi-Family (2 units),2
ATHERSTONE ST,Single-Family,8
ATHERTON AV,Office,1
ATHERTON AV,Single-Family,5
ATHERTON PL,Multi-Family (2 units),1
ATHERTON PL,Single-Family,4
ATHERTON ST,Multi-Family (2 units),18
ATHERTON ST,Multi-Family (3 units),3
ATHERTON ST,Single-Family,17
ATHOL ST,Multi-Family (3 units),6
ATHOL ST,Multi-Family (4-6 units),1
ATHOL ST,School,1
ATHOL ST,Single-Family,7
ATHOL ST,Vacant,2
ATKINS ST,Multi-Family (2 units),11
ATKINS ST,Multi-Family (3 units),7
ATKINS ST,Multi-Family (4-6 units),1
ATKINS ST,Single-Family,1
ATKINSON ST,Vacant,1
ATKINSON ST,Warehouse,1
ATLANTIC AV,Convention/Assembly,2
ATLANTIC AV,Office,15
ATLANTIC AV,Restaurant,2
ATLANTIC AV,Vacant,9
ATLANTIC ST,Multi-Family (2 units),1
ATLANTIC ST,Single-Family,13
ATLANTIC ST,Vacant,1
ATLANTIS ST,Single-Family,15
ATLANTIS ST,Vacant,1
ATWILL RD,Single-Family,14
ATWOOD SQ,Vacant,2
AUBURN PL,Single-Family,1
AUBURN SQ,Multi-Family (2 units),2
AUBURN SQ,Single-Family,1
AUBURN ST,Multi-Family (2 units),12
AUBURN ST,Multi-Family (3 units),2
AUBURN ST,Multi-Family (4-6 units),2
AUBURN ST,Single-Family,9
AUBURN ST,Vacant,1
AUBURN TE,Vacant,1
