OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Burglary,2019-04-03,4615 E COLFAX AVE
Burglary,2018-08-31,6858 E EVANS AVE
Larceny,2016-04-25,225 N MARIPOSA ST
Burglary,2018-06-10,1136 N YUMA CT
Burglary,2018-07-26,1568 S FEDERAL BLVD
Robbery-Street-Res,2015-06-26,4124 N SHERIDAN BLVD
All Other Crimes,2019-04-03,4228 N YORK ST
Burglary,2016-10-05,3845 N HIGH ST
Burglary,2016-11-23,4400 E EVANS AVE
Burglary,2016-03-31,1270 W CEDAR AVE
Larceny,2016-06-10,4495 N WASHINGTON ST
Burglary,2016-07-15,2323 S LIPAN ST
Burglary,2018-08-17,1568 S BROADWAY ST
Larceny,2016-06-02,3955 N ONEIDA ST
Weapons Offense,2018-09-22,4410 N WASHINGTON ST
Criminal Mischief-Property,2018-09-03,4935 N YORK ST
Burglary,2019-04-05,695 N BRYANT ST
All Other Crimes,2019-05-29,225 N MARIPOSA ST
Burglary,2016-11-15,2675 S SANTA FE DR
Robbery-Street-Res,2015-11-19,3050 W 49TH AVE
Robbery-Street-Res,2018-06-17,4708 N WASHINGTON ST
Auto Theft,2018-11-21,4394 N GRAPE ST
Drug Offenses,2016-03-04,5155 E 46TH AVE
Burglary,2016-06-11,688 N BRYANT ST
Criminal Mischief-Property,2018-06-19,701 W MISSISSIPPI AVE
Larceny,2019-04-29,8151 E COLFAX AVE
Robbery-Street-Res,2016-09-19,5569 N JERICHO CT
Robbery-Business,2015-04-22,3944 N HIGH ST
Burglary,2016-08-14,155 S PECOS ST
Robbery-Business,2015-09-20,3100 BLAKE ST
Simple Assault,2015-12-16,3955 N STEELE ST
Burglary,2016-08-08,2895 W 8TH AVE
Burglary,2018-11-20,6858 E EVANS AVE
Larceny,2015-03-23,1500 E COLFAX AVE
All Other Crimes,2019-04-22,403 16TH ST
Larceny,2019-04-29,330 E COLFAX AVE
Burglary,2018-11-20,3480 PARK AVEW
Robbery-Street-Res,2018-06-28,978 S PERRY ST
Burglary,2018-06-26,5109 W ALAMEDA AVE
Larceny,2015-07-23,1620 MARKET ST
Burglary,2018-11-01,5475 N PEORIA ST
Criminal Mischief-Property,2018-10-15,1196 S BANNOCK ST
Burglary,2016-07-18,219 N VALLEJO ST
Auto Theft,2019-04-07,8151 E COLFAX AVE
Criminal Mischief-Property,2015-08-09,1755 S BROADWAY ST
Burglary,2015-04-14,1332 S CHEROKEE ST
Burglary,2016-02-14,2330 N BROADWAY ST
All Other Crimes,2019-05-03,260 N BROADWAY ST
Criminal Mischief-Property,2016-05-28,7741 E COLFAX AVE
Burglary,2018-08-17,3555 S YOSEMITE ST
Burglary,2016-08-10,2777 S COLORADO BLVD
Burglary,2018-09-27,4820 MORRISON RD
Burglary,2015-03-03,1031 W CENTER AVE
Simple Assault,2018-10-13,N DAHLIA ST / E 33RD AVE
Robbery-Street-Res,2016-09-19,800 BLOCK S MONACO ST
Drug Offenses,2018-06-14,1499 N BROADWAY ST
Agg ASLT-Other,2018-06-28,2042 ARAPAHOE ST
Agg ASLT-Firearm,2019-03-29,W EVANS AVE / S TEJON ST
All Other Crimes,2018-11-19,4500 N JASON ST
Burglary,2018-06-27,330 S DAYTON ST
Larceny,2018-10-04,879 N FEDERAL BLVD
Burglary,2018-11-01,3855 N QUENTIN ST
Simple Assault,2018-11-21,4975 N VASQUEZ BLVD
Burglary,2018-11-20,4900 N COLORADO BLVD
Burglary,2018-11-20,399 S HARRISON ST
Burglary,2019-05-16,2645 S SANTA FE DR
Burglary,2016-09-05,1626 S SHERIDAN BLVD
Drug Offenses,2015-02-20,1233 W ALAMEDA AVE
Burglary,2018-11-20,4773 N FOX ST
Theft from Motor Vehicle,2018-09-28,5077 N COLORADO BLVD
Burglary,2016-09-29,4495 N WASHINGTON ST
Burglary,2019-05-29,5000 E 41ST AVE
Criminal Mischief-Property,2019-05-29,3814 WALNUT ST
Robbery-Business,2016-09-03,3887 N STEELE ST
Drug Offenses,2018-06-17,4708 N WASHINGTON ST
Burglary,2019-08-31,2042 S BANNOCK ST
Burglary,2019-08-09,4902 E SMITH RD
Larceny,2019-08-17,6853 LEETSDALE DR
All Other Crimes,2019-09-24,2119 LARIMER ST
Burglary,2019-10-21,2120 S BIRCH ST
Burglary,2015-11-15,6359 E EVANS AVE
All Other Crimes,2018-06-17,4708 N WASHINGTON ST
Burglary,2018-06-25,2675 W 38TH AVE
Larceny,2019-10-07,1941 W EVANS AVE
Burglary,2019-08-20,4655 E 46TH AVE
Burglary,2019-08-31,1126 S SHERIDAN BLVD
Burglary,2019-08-18,875 N NAVAJO ST
Larceny,2019-08-18,4801 W COLFAX AVE
Larceny,2019-08-08,4935 N YORK ST
Robbery-Street-Res,2018-09-16,1601 CHESTNUT PL
Burglary,2019-10-26,1100 S KALAMATH ST
Burglary,2019-07-17,777 N UMATILLA ST
Burglary,2016-07-04,1100 N YUMA CT
Criminal Mischief-Property,2019-07-12,445 N FEDERAL BLVD
Burglary,2018-09-14,3930 BLAKE ST
Burglary,2018-09-04,2645 S SANTA FE DR
Burglary,2019-08-09,2211 S JASON ST
Burglary,2016-11-16,2175 S HIGH ST
Theft from Motor Vehicle,2018-08-08,6767 E 39TH AVE
Burglary,2019-07-14,2211 S JASON ST
Criminal Mischief-Property,2018-06-25,7380 E COLFAX AVE
Burglary,2018-07-01,4305 N BRIGHTON BLVD
Simple Assault,2019-08-20,74 N FEDERAL BLVD
Burglary,2016-06-19,1100 N YUMA CT
Agg ASLT-Other,2019-11-21,1130 PARK AVEW
Burglary,2019-09-18,4615 E COLFAX AVE
Auto Theft,2019-07-10,970 S ONEIDA ST
Burglary,2018-09-18,183 W ALAMEDA AVE
Burglary,2016-08-16,1075 S JASON ST
Burglary,2016-08-25,1995 S BROADWAY ST
Burglary,2018-07-09,2601 W ALAMEDA AVE
Burglary,2017-04-29,2035 N PERRY ST
